_time,_value,_field,_measurement,day,month,station,year
2023-07-14 19:00:00+00:00,28.4,minimum_temperature,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,22.8,daily_rainfall_total,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,22.8,highest_120min_rainfall,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,15.4,highest_30min_rainfall,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,20.4,highest_60min_rainfall,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,33.5,max_wind_speed,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,30.6,maximum_temperature,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,25.7,mean_temperature,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,5.7,mean_wind_speed,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,23.1,minimum_temperature,Daily Weather Conditions,11,1,Admiralty,2023
2023-07-14 19:00:00+00:00,13.0,daily_rainfall_total,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,12.4,highest_120min_rainfall,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,6.2,highest_30min_rainfall,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,10.4,highest_60min_rainfall,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,29.4,max_wind_speed,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,34.2,maximum_temperature,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,28.1,mean_temperature,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,6.4,mean_wind_speed,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,24.1,minimum_temperature,Daily Weather Conditions,11,10,Admiralty,2022
2023-07-14 19:00:00+00:00,0.4,daily_rainfall_total,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.4,highest_120min_rainfall,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.4,highest_30min_rainfall,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.4,highest_60min_rainfall,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,25.9,max_wind_speed,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,30.8,maximum_temperature,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,26.7,mean_temperature,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,6.1,mean_wind_speed,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,24.7,minimum_temperature,Daily Weather Conditions,11,11,Admiralty,2022
2023-07-14 19:00:00+00:00,34.2,daily_rainfall_total,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,29.4,highest_120min_rainfall,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,16.6,highest_30min_rainfall,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,24.2,highest_60min_rainfall,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,30.9,max_wind_speed,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,27.1,maximum_temperature,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,25.1,mean_temperature,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,5.7,mean_wind_speed,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,23.1,minimum_temperature,Daily Weather Conditions,11,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.4,daily_rainfall_total,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.2,highest_120min_rainfall,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.2,highest_30min_rainfall,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.2,highest_60min_rainfall,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,30.2,max_wind_speed,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,30.9,maximum_temperature,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,27.1,mean_temperature,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,12.1,mean_wind_speed,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,25.0,minimum_temperature,Daily Weather Conditions,11,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,35.9,max_wind_speed,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,31.0,maximum_temperature,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,26.9,mean_temperature,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,14.7,mean_wind_speed,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,25.0,minimum_temperature,Daily Weather Conditions,11,3,Admiralty,2023
2023-07-14 19:00:00+00:00,17.0,daily_rainfall_total,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,17.0,highest_120min_rainfall,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,14.2,highest_30min_rainfall,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,17.0,highest_60min_rainfall,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,37.0,max_wind_speed,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,35.0,maximum_temperature,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,28.7,mean_temperature,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,6.8,mean_wind_speed,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,25.2,minimum_temperature,Daily Weather Conditions,11,4,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,37.4,max_wind_speed,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,34.7,maximum_temperature,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,30.3,mean_temperature,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,10.5,mean_wind_speed,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,28.5,minimum_temperature,Daily Weather Conditions,11,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,29.8,max_wind_speed,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,32.3,maximum_temperature,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,27.2,mean_temperature,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,7.6,mean_wind_speed,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,24.1,minimum_temperature,Daily Weather Conditions,12,1,Admiralty,2023
2023-07-14 19:00:00+00:00,6.6,daily_rainfall_total,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,4.6,highest_120min_rainfall,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,4.6,highest_30min_rainfall,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,4.6,highest_60min_rainfall,Daily Weather Conditions,12,10,Admiralty,2022
