_time,_value,_field,_measurement,device_id,device_name,type,unit
2023-06-25 07:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 08:00:00+00:00,0.94,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 09:00:00+00:00,0.84,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 10:00:00+00:00,1.0,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 11:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 12:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 13:00:00+00:00,0.9,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 14:00:00+00:00,0.95,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 15:00:00+00:00,0.9,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 16:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 17:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 18:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 19:00:00+00:00,392.18,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 20:00:00+00:00,392.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 21:00:00+00:00,392.28,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 22:00:00+00:00,392.48,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 23:00:00+00:00,392.1,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 00:00:00+00:00,392.23,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 01:00:00+00:00,391.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 02:00:00+00:00,392.09,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 03:00:00+00:00,392.03,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 04:00:00+00:00,391.9,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 05:00:00+00:00,391.85,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 06:00:00+00:00,391.58,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 07:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 08:00:00+00:00,0.87,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 09:00:00+00:00,0.83,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 10:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 11:00:00+00:00,0.92,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
